date,tot_trucks
2020-01-01,5
2020-01-02,34
2020-01-03,31
2020-01-04,16
2020-01-05,1
2020-01-06,36
2020-01-07,32
2020-01-08,29
2020-01-09,26
2020-01-10,25
2020-01-11,15
2020-01-13,34
2020-01-14,28
2020-01-15,23
2020-01-16,28
2020-01-17,24
2020-01-18,9
2020-01-19,3
2020-01-20,33
2020-01-21,35
2020-01-22,31
2020-01-23,30
2020-01-24,33
2020-01-25,12
2020-01-26,1
2020-01-27,39
2020-01-28,30
2020-01-29,30
2020-01-30,31
2020-01-31,28
2020-02-01,16
2020-02-02,3
2020-02-03,36
2020-02-04,27
2020-02-05,25
2020-02-06,30
2020-02-07,31
2020-02-08,14
2020-02-09,3
2020-02-10,33
2020-02-11,32
2020-02-12,33
2020-02-13,40
2020-02-14,32
2020-02-15,15
2020-02-16,1
2020-02-17,35
2020-02-18,37
2020-02-19,33
2020-02-20,34
2020-02-21,32
2020-02-22,12
2020-02-23,1
2020-02-24,35
2020-02-25,34
2020-02-26,32
2020-02-27,34
2020-02-28,27
2020-02-29,15
2020-03-01,3
2020-03-02,38
2020-03-03,42
2020-03-04,36
2020-03-05,36
2020-03-06,34
2020-03-07,21
2020-03-08,1
2020-03-09,43
2020-03-10,34
2020-03-11,39
2020-03-12,35
2020-03-13,31
2020-03-14,18
2020-03-15,2
2020-03-16,38
2020-03-17,38
2020-03-18,34
2020-03-19,35
2020-03-20,32
2020-03-21,16
2020-03-22,2
2020-03-23,37
2020-03-24,33
2020-03-25,28
2020-03-26,26
2020-03-27,31
2020-03-28,24
2020-03-29,2
2020-03-30,31
2020-03-31,37
2020-04-01,37
2020-04-02,35
2020-04-03,34
2020-04-04,21
2020-04-05,1
2020-04-06,49
2020-04-07,36
2020-04-08,41
2020-04-09,39
2020-04-10,41
2020-04-11,16
2020-04-12,2
2020-04-13,44
2020-04-14,44
2020-04-15,34
2020-04-16,38
2020-04-17,35
2020-04-18,15
2020-04-19,3
2020-04-20,31
2020-04-21,35
2020-04-22,29
2020-04-23,35
2020-04-24,34
2020-04-25,21
2020-04-26,1
2020-04-27,39
2020-04-28,34
2020-04-29,28
2020-04-30,33
2020-05-01,32
2020-05-02,20
2020-05-04,39
2020-05-05,35
2020-05-06,31
2020-05-07,36
2020-05-08,30
2020-05-09,14
2020-05-10,1
2020-05-11,37
2020-05-12,30
2020-05-13,24
2020-05-14,32
2020-05-15,30
2020-05-16,15
2020-05-17,1
2020-05-18,36
2020-05-19,30
2020-05-20,31
2020-05-21,37
2020-05-22,28
2020-05-23,19
2020-05-24,3
2020-05-25,38
2020-05-26,34
2020-05-27,23
2020-05-28,37
2020-05-29,32
2020-05-30,13
2020-05-31,1
2020-06-01,36
2020-06-02,33
2020-06-03,30
2020-06-04,31
2020-06-05,29
2020-06-06,18
2020-06-07,3
2020-06-08,39
2020-06-09,39
2020-06-10,38
2020-06-11,37
2020-06-12,40
2020-06-13,15
2020-06-14,3
2020-06-15,35
2020-06-16,38
2020-06-17,33
2020-06-18,31
2020-06-19,34
2020-06-20,15
2020-06-21,1
2020-06-22,35
2020-06-23,34
2020-06-24,29
2020-06-25,34
2020-06-26,32
2020-06-27,17
2020-06-28,1
2020-06-29,36
2020-06-30,42
2020-07-01,42
2020-07-02,34
2020-07-03,32
2020-07-04,13
2020-07-05,6
2020-07-06,44
2020-07-07,41
2020-07-08,29
2020-07-09,34
2020-07-10,34
2020-07-11,12
2020-07-12,1
2020-07-13,41
2020-07-14,53
2020-07-15,34
2020-07-16,41
2020-07-17,35
2020-07-18,18
2020-07-19,4
2020-07-20,45
2020-07-21,43
2020-07-22,34
2020-07-23,39
2020-07-24,33
